#Time(s), Device ID, X,Y,Z
0.0, 1 ,280.0, 400.0 ,0.0
0.6, 1, 280.0 ,408.0, 0.0
1.2, 1, 280.0 ,416.0, 0.0
1.8, 1, 280.0 ,424.0, 0.0
2.4, 1, 280.0 ,432.0, 0.0
3.0, 1, 280.0 ,440.0, 0.0
3.6, 1, 280.0 ,448.0, 0.0
4.2, 1, 280.0 ,456.0, 0.0
4.8, 1, 280.0 ,464.0, 0.0
5.4, 1, 280.0 ,472.0, 0.0
6.0, 1, 280.0 ,480.0, 0.0
6.6, 1, 280.0 ,488.0, 0.0
7.2, 1, 280.0 ,496.0, 0.0
7.8, 1, 280.0 ,504.0, 0.0
8.4, 1, 280.0 ,512.0, 0.0
9.0, 1, 280.0 ,520.0, 0.0
9.6, 1, 280.0 ,528.0, 0.0
10.2, 1, 280.0 ,536.0, 0.0
10.8, 1, 280.0 ,544.0, 0.0
11.4, 1, 280.0 ,552.0, 0.0
12.0, 1, 280.0 ,560.0, 0.0
12.6, 1, 280.0 ,568.0, 0.0
13.2, 1, 280.0 ,576.0, 0.0
13.8, 1, 280.0 ,584.0, 0.0
14.4, 1, 280.0 ,592.0, 0.0
15.0, 1, 280.0 ,600.0, 0.0
15.6, 1, 280.0 ,608.0, 0.0
16.2, 1, 280.0 ,616.0, 0.0
16.8, 1, 280.0 ,624.0, 0.0
17.4, 1, 280.0 ,632.0, 0.0
18.0, 1, 280.0 ,640.0, 0.0
18.6, 1, 280.0 ,648.0, 0.0
19.2, 1, 280.0 ,656.0, 0.0
19.8, 1, 280.0 ,664.0, 0.0
20.4, 1, 280.0 ,672.0, 0.0
21.0, 1, 280.0 ,680.0, 0.0
21.6, 1, 280.0 ,688.0, 0.0
22.2, 1, 280.0 ,696.0, 0.0
22.8, 1, 280.0 ,704.0, 0.0
23.4, 1, 280.0 ,712.0, 0.0
24.0, 1, 280.0 ,720.0, 0.0
24.6, 1, 280.0 ,728.0, 0.0
25.2, 1, 280.0 ,736.0, 0.0
25.8, 1, 280.0 ,744.0, 0.0
26.4, 1, 280.0 ,752.0, 0.0
27.0, 1, 280.0 ,760.0, 0.0
27.6, 1, 280.0 ,768.0, 0.0
28.2, 1, 280.0 ,776.0, 0.0
28.8, 1, 280.0 ,784.0, 0.0
29.4, 1, 280.0 ,792.0, 0.0
30.0, 1, 280.0 ,800.0, 0.0
30.6, 1, 280.0 ,808.0, 0.0
31.2, 1, 280.0 ,816.0, 0.0
31.8, 1, 280.0 ,824.0, 0.0
32.4, 1, 280.0 ,832.0, 0.0
33.0, 1, 280.0 ,840.0, 0.0
33.6, 1, 280.0 ,848.0, 0.0
34.2, 1, 280.0 ,856.0, 0.0
34.8, 1, 280.0 ,864.0, 0.0
35.4, 1, 280.0 ,872.0, 0.0
36.0, 1, 280.0 ,880.0, 0.0
36.6, 1, 280.0 ,888.0, 0.0
37.2, 1, 280.0 ,896.0, 0.0
37.8, 1, 280.0 ,904.0, 0.0
38.4, 1, 280.0 ,912.0, 0.0
39.0, 1, 280.0 ,920.0, 0.0
39.6, 1, 280.0 ,928.0, 0.0
40.2, 1, 280.0 ,936.0, 0.0
40.8, 1, 280.0 ,944.0, 0.0
41.4, 1, 280.0 ,952.0, 0.0
42.0, 1, 280.0 ,960.0, 0.0
42.6, 1, 280.0 ,968.0, 0.0
43.2, 1, 280.0 ,976.0, 0.0
43.8, 1, 280.0 ,984.0, 0.0
44.4, 1, 280.0 ,992.0, 0.0
45.0, 1, 280.0 ,1000.0, 0.0
0.0, 3 ,280.0, 400.0 ,0.0
0.6, 3, 280.0 ,408.0, 0.0
1.2, 3, 280.0 ,416.0, 0.0
1.8, 3, 280.0 ,424.0, 0.0
2.4, 3, 280.0 ,432.0, 0.0
3.0, 3, 280.0 ,440.0, 0.0
3.6, 3, 280.0 ,448.0, 0.0
4.2, 3, 280.0 ,456.0, 0.0
